venue,date,time,status,count
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0.0
Arc Express,11/22/2022,08:49 PM,Open,3.0
Arc Floor One,11/26/2022,03:09 PM,Open,45.0
Arc Floor Two,11/26/2022,03:09 PM,Open,17.0
Arc Olympic Lifting Zones,11/26/2022,03:09 PM,Open,20.0
Climbing,11/22/2022,09:13 PM,Closed,0.0
Competition Pool,11/26/2022,03:00 PM,Open,1.0
Four Court Gym,11/26/2022,03:09 PM,Open,7.0
North Court,11/26/2022,03:09 PM,Open,0.0
Recreation Pool,11/26/2022,03:00 PM,Open,1.0
South Court,11/26/2022,03:09 PM,Open,1.0
Spa,11/26/2022,02:22 PM,Closed,1.0
Tennis Courts,11/26/2022,03:00 PM,Open,2.0
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0.0
Arc Express,11/22/2022,08:49 PM,Open,3.0
Arc Floor One,11/26/2022,03:09 PM,Open,45.0
Arc Floor Two,11/26/2022,03:09 PM,Open,17.0
Arc Olympic Lifting Zones,11/26/2022,03:09 PM,Open,20.0
Climbing,11/22/2022,09:13 PM,Closed,0.0
Competition Pool,11/26/2022,03:00 PM,Open,1.0
Four Court Gym,11/26/2022,03:09 PM,Open,7.0
North Court,11/26/2022,03:09 PM,Open,0.0
Recreation Pool,11/26/2022,03:00 PM,Open,1.0
South Court,11/26/2022,03:09 PM,Open,1.0
Spa,11/26/2022,02:22 PM,Closed,1.0
Tennis Courts,11/26/2022,03:00 PM,Open,2.0
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0.0
Arc Express,11/22/2022,08:49 PM,Open,3.0
Arc Floor One,11/26/2022,03:09 PM,Open,45.0
Arc Floor Two,11/26/2022,03:09 PM,Open,17.0
Arc Olympic Lifting Zones,11/26/2022,03:09 PM,Open,20.0
Climbing,11/22/2022,09:13 PM,Closed,0.0
Competition Pool,11/26/2022,03:00 PM,Open,1.0
Four Court Gym,11/26/2022,03:09 PM,Open,7.0
North Court,11/26/2022,03:09 PM,Open,0.0
Recreation Pool,11/26/2022,03:00 PM,Open,1.0
South Court,11/26/2022,03:09 PM,Open,1.0
Spa,11/26/2022,02:22 PM,Closed,1.0
Tennis Courts,11/26/2022,03:00 PM,Open,2.0
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0.0
Arc Express,11/22/2022,08:49 PM,Open,3.0
Arc Floor One,11/26/2022,03:09 PM,Open,45.0
Arc Floor Two,11/26/2022,03:09 PM,Open,17.0
Arc Olympic Lifting Zones,11/26/2022,03:09 PM,Open,20.0
Climbing,11/22/2022,09:13 PM,Closed,0.0
Competition Pool,11/26/2022,03:00 PM,Open,1.0
Four Court Gym,11/26/2022,03:09 PM,Open,7.0
North Court,11/26/2022,03:09 PM,Open,0.0
Recreation Pool,11/26/2022,03:00 PM,Open,1.0
South Court,11/26/2022,03:09 PM,Open,1.0
Spa,11/26/2022,02:22 PM,Closed,1.0
Tennis Courts,11/26/2022,03:00 PM,Open,2.0
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0.0
Arc Express,11/22/2022,08:49 PM,Open,3.0
Arc Floor One,11/26/2022,03:09 PM,Open,45.0
Arc Floor Two,11/26/2022,03:09 PM,Open,17.0
Arc Olympic Lifting Zones,11/26/2022,03:09 PM,Open,20.0
Climbing,11/22/2022,09:13 PM,Closed,0.0
Competition Pool,11/26/2022,03:00 PM,Open,1.0
Four Court Gym,11/26/2022,03:09 PM,Open,7.0
North Court,11/26/2022,03:09 PM,Open,0.0
Recreation Pool,11/26/2022,03:00 PM,Open,1.0
South Court,11/26/2022,03:09 PM,Open,1.0
Spa,11/26/2022,02:22 PM,Closed,1.0
Tennis Courts,11/26/2022,03:00 PM,Open,2.0
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0.0
Arc Express,11/22/2022,08:49 PM,Open,3.0
Arc Floor One,11/26/2022,03:09 PM,Open,45.0
Arc Floor Two,11/26/2022,03:09 PM,Open,17.0
Arc Olympic Lifting Zones,11/26/2022,03:09 PM,Open,20.0
Climbing,11/22/2022,09:13 PM,Closed,0.0
Competition Pool,11/26/2022,03:00 PM,Open,1.0
Four Court Gym,11/26/2022,03:09 PM,Open,7.0
North Court,11/26/2022,03:09 PM,Open,0.0
Recreation Pool,11/26/2022,03:00 PM,Open,1.0
South Court,11/26/2022,03:09 PM,Open,1.0
Spa,11/26/2022,02:22 PM,Closed,1.0
Tennis Courts,11/26/2022,03:00 PM,Open,2.0
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0.0
Arc Express,11/22/2022,08:49 PM,Open,3.0
Arc Floor One,11/26/2022,03:09 PM,Open,45.0
Arc Floor Two,11/26/2022,03:09 PM,Open,17.0
Arc Olympic Lifting Zones,11/26/2022,03:09 PM,Open,20.0
Climbing,11/22/2022,09:13 PM,Closed,0.0
Competition Pool,11/26/2022,03:00 PM,Open,1.0
Four Court Gym,11/26/2022,03:09 PM,Open,7.0
North Court,11/26/2022,03:09 PM,Open,0.0
Recreation Pool,11/26/2022,03:00 PM,Open,1.0
South Court,11/26/2022,03:09 PM,Open,1.0
Spa,11/26/2022,02:22 PM,Closed,1.0
Tennis Courts,11/26/2022,03:00 PM,Open,2.0
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0.0
Arc Express,11/22/2022,08:49 PM,Open,3.0
Arc Floor One,11/26/2022,03:09 PM,Open,45.0
Arc Floor Two,11/26/2022,03:09 PM,Open,17.0
Arc Olympic Lifting Zones,11/26/2022,03:09 PM,Open,20.0
Climbing,11/22/2022,09:13 PM,Closed,0.0
Competition Pool,11/26/2022,03:00 PM,Open,1.0
Four Court Gym,11/26/2022,03:09 PM,Open,7.0
North Court,11/26/2022,03:09 PM,Open,0.0
Recreation Pool,11/26/2022,03:00 PM,Open,1.0
South Court,11/26/2022,03:09 PM,Open,1.0
Spa,11/26/2022,02:22 PM,Closed,1.0
Tennis Courts,11/26/2022,03:00 PM,Open,2.0
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0.0
Arc Express,11/22/2022,08:49 PM,Open,3.0
Arc Floor One,11/26/2022,03:09 PM,Open,45.0
Arc Floor Two,11/26/2022,03:09 PM,Open,17.0
Arc Olympic Lifting Zones,11/26/2022,03:09 PM,Open,20.0
Climbing,11/22/2022,09:13 PM,Closed,0.0
Competition Pool,11/26/2022,03:00 PM,Open,1.0
Four Court Gym,11/26/2022,03:09 PM,Open,7.0
North Court,11/26/2022,03:09 PM,Open,0.0
Recreation Pool,11/26/2022,03:00 PM,Open,1.0
South Court,11/26/2022,03:09 PM,Open,1.0
Spa,11/26/2022,02:22 PM,Closed,1.0
Tennis Courts,11/26/2022,03:00 PM,Open,2.0
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0.0
Arc Express,11/22/2022,08:49 PM,Open,3.0
Arc Floor One,11/26/2022,03:09 PM,Open,45.0
Arc Floor Two,11/26/2022,03:09 PM,Open,17.0
Arc Olympic Lifting Zones,11/26/2022,03:09 PM,Open,20.0
Climbing,11/22/2022,09:13 PM,Closed,0.0
Competition Pool,11/26/2022,03:00 PM,Open,1.0
Four Court Gym,11/26/2022,03:09 PM,Open,7.0
North Court,11/26/2022,03:09 PM,Open,0.0
Recreation Pool,11/26/2022,03:00 PM,Open,1.0
South Court,11/26/2022,03:09 PM,Open,1.0
Spa,11/26/2022,02:22 PM,Closed,1.0
Tennis Courts,11/26/2022,03:00 PM,Open,2.0
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0.0
Arc Express,11/22/2022,08:49 PM,Open,3.0
Arc Floor One,11/26/2022,03:09 PM,Open,45.0
Arc Floor Two,11/26/2022,03:09 PM,Open,17.0
Arc Olympic Lifting Zones,11/26/2022,03:09 PM,Open,20.0
Climbing,11/22/2022,09:13 PM,Closed,0.0
Competition Pool,11/26/2022,03:00 PM,Open,1.0
Four Court Gym,11/26/2022,03:09 PM,Open,7.0
North Court,11/26/2022,03:09 PM,Open,0.0
Recreation Pool,11/26/2022,03:00 PM,Open,1.0
South Court,11/26/2022,03:09 PM,Open,1.0
Spa,11/26/2022,02:22 PM,Closed,1.0
Tennis Courts,11/26/2022,03:00 PM,Open,2.0
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0.0
Arc Express,11/22/2022,08:49 PM,Open,3.0
Arc Floor One,11/26/2022,03:09 PM,Open,45.0
Arc Floor Two,11/26/2022,03:09 PM,Open,17.0
Arc Olympic Lifting Zones,11/26/2022,03:09 PM,Open,20.0
Climbing,11/22/2022,09:13 PM,Closed,0.0
Competition Pool,11/26/2022,03:00 PM,Open,1.0
Four Court Gym,11/26/2022,03:09 PM,Open,7.0
North Court,11/26/2022,03:09 PM,Open,0.0
Recreation Pool,11/26/2022,03:00 PM,Open,1.0
South Court,11/26/2022,03:09 PM,Open,1.0
Spa,11/26/2022,02:22 PM,Closed,1.0
Tennis Courts,11/26/2022,03:00 PM,Open,2.0
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0.0
Arc Express,11/22/2022,08:49 PM,Open,3.0
Arc Floor One,11/26/2022,03:09 PM,Open,45.0
Arc Floor Two,11/26/2022,03:09 PM,Open,17.0
Arc Olympic Lifting Zones,11/26/2022,03:09 PM,Open,20.0
Climbing,11/22/2022,09:13 PM,Closed,0.0
Competition Pool,11/26/2022,03:00 PM,Open,1.0
Four Court Gym,11/26/2022,03:09 PM,Open,7.0
North Court,11/26/2022,03:09 PM,Open,0.0
Recreation Pool,11/26/2022,03:00 PM,Open,1.0
South Court,11/26/2022,03:09 PM,Open,1.0
Spa,11/26/2022,02:22 PM,Closed,1.0
Tennis Courts,11/26/2022,03:00 PM,Open,2.0
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0.0
Arc Express,11/22/2022,08:49 PM,Open,3.0
Arc Floor One,11/27/2022,09:11 AM,Open,23.0
Arc Floor Two,11/27/2022,09:11 AM,Open,20.0
Arc Olympic Lifting Zones,11/27/2022,09:11 AM,Open,7.0
Climbing,11/22/2022,09:13 PM,Closed,0.0
Competition Pool,11/26/2022,03:00 PM,Open,1.0
Four Court Gym,11/27/2022,09:11 AM,Open,1.0
North Court,11/27/2022,09:11 AM,Open,0.0
Recreation Pool,11/26/2022,03:00 PM,Open,1.0
South Court,11/27/2022,09:11 AM,Open,0.0
Spa,11/26/2022,02:22 PM,Closed,1.0
Tennis Courts,11/26/2022,03:00 PM,Open,2.0
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0.0
Arc Express,11/22/2022,08:49 PM,Open,3.0
Arc Floor One,11/27/2022,09:11 AM,Open,23.0
Arc Floor Two,11/27/2022,09:11 AM,Open,20.0
Arc Olympic Lifting Zones,11/27/2022,09:11 AM,Open,7.0
Climbing,11/22/2022,09:13 PM,Closed,0.0
Competition Pool,11/26/2022,03:00 PM,Open,1.0
Four Court Gym,11/27/2022,09:11 AM,Open,1.0
North Court,11/27/2022,09:11 AM,Open,0.0
Recreation Pool,11/26/2022,03:00 PM,Open,1.0
South Court,11/27/2022,09:11 AM,Open,0.0
Spa,11/26/2022,02:22 PM,Closed,1.0
Tennis Courts,11/26/2022,03:00 PM,Open,2.0
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0.0
Arc Express,11/22/2022,08:49 PM,Open,3.0
Arc Floor One,11/27/2022,09:11 AM,Open,23.0
Arc Floor Two,11/27/2022,09:11 AM,Open,20.0
Arc Olympic Lifting Zones,11/27/2022,09:11 AM,Open,7.0
Climbing,11/22/2022,09:13 PM,Closed,0.0
Competition Pool,11/26/2022,03:00 PM,Open,1.0
Four Court Gym,11/27/2022,09:11 AM,Open,1.0
North Court,11/27/2022,09:11 AM,Open,0.0
Recreation Pool,11/26/2022,03:00 PM,Open,1.0
South Court,11/27/2022,09:11 AM,Open,0.0
Spa,11/26/2022,02:22 PM,Closed,1.0
Tennis Courts,11/26/2022,03:00 PM,Open,2.0
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0.0
Arc Express,11/22/2022,08:49 PM,Open,3.0
Arc Floor One,11/27/2022,09:11 AM,Open,23.0
Arc Floor Two,11/27/2022,09:11 AM,Open,20.0
Arc Olympic Lifting Zones,11/27/2022,09:11 AM,Open,7.0
Climbing,11/22/2022,09:13 PM,Closed,0.0
Competition Pool,11/26/2022,03:00 PM,Open,1.0
Four Court Gym,11/27/2022,09:11 AM,Open,1.0
North Court,11/27/2022,09:11 AM,Open,0.0
Recreation Pool,11/26/2022,03:00 PM,Open,1.0
South Court,11/27/2022,09:11 AM,Open,0.0
Spa,11/26/2022,02:22 PM,Closed,1.0
Tennis Courts,11/26/2022,03:00 PM,Open,2.0
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0.0
Arc Express,11/22/2022,08:49 PM,Open,3.0
Arc Floor One,11/27/2022,09:49 AM,Open,33.0
Arc Floor Two,11/27/2022,09:49 AM,Open,21.0
Arc Olympic Lifting Zones,11/27/2022,09:11 AM,Open,7.0
Climbing,11/22/2022,09:13 PM,Closed,0.0
Competition Pool,11/26/2022,03:00 PM,Open,1.0
Four Court Gym,11/27/2022,09:49 AM,Open,2.0
North Court,11/27/2022,09:49 AM,Open,0.0
Recreation Pool,11/26/2022,03:00 PM,Open,1.0
South Court,11/27/2022,09:49 AM,Open,0.0
Spa,11/26/2022,02:22 PM,Closed,1.0
Tennis Courts,11/26/2022,03:00 PM,Open,2.0
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0.0
Arc Express,11/22/2022,08:49 PM,Open,3.0
Arc Floor One,11/27/2022,09:49 AM,Open,33.0
Arc Floor Two,11/27/2022,09:49 AM,Open,21.0
Arc Olympic Lifting Zones,11/27/2022,09:11 AM,Open,7.0
Climbing,11/22/2022,09:13 PM,Closed,0.0
Competition Pool,11/26/2022,03:00 PM,Open,1.0
Four Court Gym,11/27/2022,09:49 AM,Open,2.0
North Court,11/27/2022,09:49 AM,Open,0.0
Recreation Pool,11/26/2022,03:00 PM,Open,1.0
South Court,11/27/2022,09:49 AM,Open,0.0
Spa,11/26/2022,02:22 PM,Closed,1.0
Tennis Courts,11/26/2022,03:00 PM,Open,2.0
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0.0
Arc Express,11/22/2022,08:49 PM,Open,3.0
Arc Floor One,11/27/2022,09:49 AM,Open,33.0
Arc Floor Two,11/27/2022,09:49 AM,Open,21.0
Arc Olympic Lifting Zones,11/27/2022,09:11 AM,Open,7.0
Climbing,11/22/2022,09:13 PM,Closed,0.0
Competition Pool,11/26/2022,03:00 PM,Open,1.0
Four Court Gym,11/27/2022,09:49 AM,Open,2.0
North Court,11/27/2022,09:49 AM,Open,0.0
Recreation Pool,11/26/2022,03:00 PM,Open,1.0
South Court,11/27/2022,09:49 AM,Open,0.0
Spa,11/26/2022,02:22 PM,Closed,1.0
Tennis Courts,11/26/2022,03:00 PM,Open,2.0
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0.0
Arc Express,11/22/2022,08:49 PM,Open,3.0
Arc Floor One,11/27/2022,09:49 AM,Open,33.0
Arc Floor Two,11/27/2022,09:49 AM,Open,21.0
Arc Olympic Lifting Zones,11/27/2022,09:11 AM,Open,7.0
Climbing,11/22/2022,09:13 PM,Closed,0.0
Competition Pool,11/27/2022,10:25 AM,Open,3.0
Four Court Gym,11/27/2022,09:49 AM,Open,2.0
North Court,11/27/2022,09:49 AM,Open,0.0
Recreation Pool,11/27/2022,10:25 AM,Open,4.0
South Court,11/27/2022,09:49 AM,Open,0.0
Spa,11/26/2022,02:22 PM,Closed,1.0
Tennis Courts,11/26/2022,03:00 PM,Open,2.0
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0.0
Arc Express,11/22/2022,08:49 PM,Open,3.0
Arc Floor One,11/27/2022,09:49 AM,Open,33.0
Arc Floor Two,11/27/2022,09:49 AM,Open,21.0
Arc Olympic Lifting Zones,11/27/2022,09:11 AM,Open,7.0
Climbing,11/22/2022,09:13 PM,Closed,0.0
Competition Pool,11/27/2022,10:25 AM,Open,3.0
Four Court Gym,11/27/2022,09:49 AM,Open,2.0
North Court,11/27/2022,09:49 AM,Open,0.0
Recreation Pool,11/27/2022,10:25 AM,Open,4.0
South Court,11/27/2022,09:49 AM,Open,0.0
Spa,11/26/2022,02:22 PM,Closed,1.0
Tennis Courts,11/26/2022,03:00 PM,Open,2.0
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0.0
Arc Express,11/22/2022,08:49 PM,Open,3.0
Arc Floor One,11/27/2022,09:49 AM,Open,33.0
Arc Floor Two,11/27/2022,09:49 AM,Open,21.0
Arc Olympic Lifting Zones,11/27/2022,09:11 AM,Open,7.0
Climbing,11/22/2022,09:13 PM,Closed,0.0
Competition Pool,11/27/2022,10:25 AM,Open,3.0
Four Court Gym,11/27/2022,09:49 AM,Open,2.0
North Court,11/27/2022,09:49 AM,Open,0.0
Recreation Pool,11/27/2022,10:25 AM,Open,4.0
South Court,11/27/2022,09:49 AM,Open,0.0
Spa,11/26/2022,02:22 PM,Closed,1.0
Tennis Courts,11/26/2022,03:00 PM,Open,2.0
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0.0
Arc Express,11/22/2022,08:49 PM,Open,3.0
Arc Floor One,11/27/2022,09:49 AM,Open,33.0
Arc Floor Two,11/27/2022,09:49 AM,Open,21.0
Arc Olympic Lifting Zones,11/27/2022,09:11 AM,Open,7.0
Climbing,11/22/2022,09:13 PM,Closed,0.0
Competition Pool,11/27/2022,10:25 AM,Open,3.0
Four Court Gym,11/27/2022,09:49 AM,Open,2.0
North Court,11/27/2022,09:49 AM,Open,0.0
Recreation Pool,11/27/2022,10:25 AM,Open,4.0
South Court,11/27/2022,09:49 AM,Open,0.0
Spa,11/26/2022,02:22 PM,Closed,1.0
Tennis Courts,11/26/2022,03:00 PM,Open,2.0
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0.0
Arc Express,11/22/2022,08:49 PM,Open,3.0
Arc Floor One,11/27/2022,09:49 AM,Open,33.0
Arc Floor Two,11/27/2022,09:49 AM,Open,21.0
Arc Olympic Lifting Zones,11/27/2022,09:11 AM,Open,7.0
Climbing,11/22/2022,09:13 PM,Closed,0.0
Competition Pool,11/27/2022,10:25 AM,Open,3.0
Four Court Gym,11/27/2022,09:49 AM,Open,2.0
North Court,11/27/2022,09:49 AM,Open,0.0
Recreation Pool,11/27/2022,10:25 AM,Open,4.0
South Court,11/27/2022,09:49 AM,Open,0.0
Spa,11/26/2022,02:22 PM,Closed,1.0
Tennis Courts,11/26/2022,03:00 PM,Open,2.0
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0.0
Arc Express,11/22/2022,08:49 PM,Open,3.0
Arc Floor One,11/27/2022,09:49 AM,Open,33.0
Arc Floor Two,11/27/2022,09:49 AM,Open,21.0
Arc Olympic Lifting Zones,11/27/2022,09:11 AM,Open,7.0
Climbing,11/22/2022,09:13 PM,Closed,0.0
Competition Pool,11/27/2022,10:25 AM,Open,3.0
Four Court Gym,11/27/2022,09:49 AM,Open,2.0
North Court,11/27/2022,09:49 AM,Open,0.0
Recreation Pool,11/27/2022,10:25 AM,Open,4.0
South Court,11/27/2022,09:49 AM,Open,0.0
Spa,11/26/2022,02:22 PM,Closed,1.0
Tennis Courts,11/26/2022,03:00 PM,Open,2.0
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0.0
Arc Express,11/22/2022,08:49 PM,Open,3.0
Arc Floor One,11/27/2022,09:49 AM,Open,33.0
Arc Floor Two,11/27/2022,09:49 AM,Open,21.0
Arc Olympic Lifting Zones,11/27/2022,09:11 AM,Open,7.0
Climbing,11/22/2022,09:13 PM,Closed,0.0
Competition Pool,11/27/2022,10:25 AM,Open,3.0
Four Court Gym,11/27/2022,09:49 AM,Open,2.0
North Court,11/27/2022,09:49 AM,Open,0.0
Recreation Pool,11/27/2022,10:25 AM,Open,4.0
South Court,11/27/2022,09:49 AM,Open,0.0
Spa,11/26/2022,02:22 PM,Closed,1.0
Tennis Courts,11/26/2022,03:00 PM,Open,2.0
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0.0
Arc Express,11/22/2022,08:49 PM,Open,3.0
Arc Floor One,11/27/2022,09:49 AM,Open,33.0
Arc Floor Two,11/27/2022,09:49 AM,Open,21.0
Arc Olympic Lifting Zones,11/27/2022,09:11 AM,Open,7.0
Climbing,11/22/2022,09:13 PM,Closed,0.0
Competition Pool,11/27/2022,10:25 AM,Open,3.0
Four Court Gym,11/27/2022,09:49 AM,Open,2.0
North Court,11/27/2022,09:49 AM,Open,0.0
Recreation Pool,11/27/2022,10:25 AM,Open,4.0
South Court,11/27/2022,09:49 AM,Open,0.0
Spa,11/26/2022,02:22 PM,Closed,1.0
Tennis Courts,11/26/2022,03:00 PM,Open,2.0
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0.0
Arc Express,11/22/2022,08:49 PM,Open,3.0
Arc Floor One,11/27/2022,09:49 AM,Open,33.0
Arc Floor Two,11/27/2022,09:49 AM,Open,21.0
Arc Olympic Lifting Zones,11/27/2022,09:11 AM,Open,7.0
Climbing,11/22/2022,09:13 PM,Closed,0.0
Competition Pool,11/27/2022,10:25 AM,Open,3.0
Four Court Gym,11/27/2022,09:49 AM,Open,2.0
North Court,11/27/2022,09:49 AM,Open,0.0
Recreation Pool,11/27/2022,10:25 AM,Open,4.0
South Court,11/27/2022,09:49 AM,Open,0.0
Spa,11/26/2022,02:22 PM,Closed,1.0
Tennis Courts,11/26/2022,03:00 PM,Open,2.0
Aquaplex Pool Deck,11/27/2022,11:49 AM,Open,2.0
Arc Express,11/22/2022,08:49 PM,Open,3.0
Arc Floor One,11/27/2022,09:49 AM,Open,33.0
Arc Floor Two,11/27/2022,09:49 AM,Open,21.0
Arc Olympic Lifting Zones,11/27/2022,09:11 AM,Open,7.0
Climbing,11/22/2022,09:13 PM,Closed,0.0
Competition Pool,11/27/2022,11:49 AM,Open,1.0
Four Court Gym,11/27/2022,09:49 AM,Open,2.0
North Court,11/27/2022,09:49 AM,Open,0.0
Recreation Pool,11/27/2022,11:49 AM,Open,0.0
South Court,11/27/2022,09:49 AM,Open,0.0
Spa,11/26/2022,02:22 PM,Closed,1.0
Tennis Courts,11/26/2022,03:00 PM,Open,2.0
Aquaplex Pool Deck,11/27/2022,11:49 AM,Open,2.0
Arc Express,11/22/2022,08:49 PM,Open,3.0
Arc Floor One,11/27/2022,09:49 AM,Open,33.0
Arc Floor Two,11/27/2022,09:49 AM,Open,21.0
Arc Olympic Lifting Zones,11/27/2022,09:11 AM,Open,7.0
Climbing,11/22/2022,09:13 PM,Closed,0.0
Competition Pool,11/27/2022,11:49 AM,Open,1.0
Four Court Gym,11/27/2022,09:49 AM,Open,2.0
North Court,11/27/2022,09:49 AM,Open,0.0
Recreation Pool,11/27/2022,11:49 AM,Open,0.0
South Court,11/27/2022,09:49 AM,Open,0.0
Spa,11/26/2022,02:22 PM,Closed,1.0
Tennis Courts,11/26/2022,03:00 PM,Open,2.0
Aquaplex Pool Deck,11/27/2022,11:49 AM,Open,2.0
Arc Express,11/22/2022,08:49 PM,Open,3.0
Arc Floor One,11/27/2022,09:49 AM,Open,33.0
Arc Floor Two,11/27/2022,09:49 AM,Open,21.0
Arc Olympic Lifting Zones,11/27/2022,09:11 AM,Open,7.0
Climbing,11/22/2022,09:13 PM,Closed,0.0
Competition Pool,11/27/2022,11:49 AM,Open,1.0
Four Court Gym,11/27/2022,09:49 AM,Open,2.0
North Court,11/27/2022,09:49 AM,Open,0.0
Recreation Pool,11/27/2022,11:49 AM,Open,0.0
South Court,11/27/2022,09:49 AM,Open,0.0
Spa,11/26/2022,02:22 PM,Closed,1.0
Tennis Courts,11/26/2022,03:00 PM,Open,2.0
Aquaplex Pool Deck,11/27/2022,11:49 AM,Open,2.0
Arc Express,11/22/2022,08:49 PM,Open,3.0
Arc Floor One,11/27/2022,09:49 AM,Open,33.0
Arc Floor Two,11/27/2022,09:49 AM,Open,21.0
Arc Olympic Lifting Zones,11/27/2022,09:11 AM,Open,7.0
Climbing,11/22/2022,09:13 PM,Closed,0.0
Competition Pool,11/27/2022,11:49 AM,Open,1.0
Four Court Gym,11/27/2022,09:49 AM,Open,2.0
North Court,11/27/2022,09:49 AM,Open,0.0
Recreation Pool,11/27/2022,11:49 AM,Open,0.0
South Court,11/27/2022,09:49 AM,Open,0.0
Spa,11/26/2022,02:22 PM,Closed,1.0
Tennis Courts,11/26/2022,03:00 PM,Open,2.0
Aquaplex Pool Deck,11/27/2022,11:49 AM,Open,2.0
Arc Express,11/22/2022,08:49 PM,Open,3.0
Arc Floor One,11/27/2022,09:49 AM,Open,33.0
Arc Floor Two,11/27/2022,09:49 AM,Open,21.0
Arc Olympic Lifting Zones,11/27/2022,09:11 AM,Open,7.0
Climbing,11/22/2022,09:13 PM,Closed,0.0
Competition Pool,11/27/2022,11:49 AM,Open,1.0
Four Court Gym,11/27/2022,09:49 AM,Open,2.0
North Court,11/27/2022,09:49 AM,Open,0.0
Recreation Pool,11/27/2022,11:49 AM,Open,0.0
South Court,11/27/2022,09:49 AM,Open,0.0
Spa,11/26/2022,02:22 PM,Closed,1.0
Tennis Courts,11/26/2022,03:00 PM,Open,2.0
Aquaplex Pool Deck,11/27/2022,11:49 AM,Open,2.0
Arc Express,11/22/2022,08:49 PM,Open,3.0
Arc Floor One,11/27/2022,09:49 AM,Open,33.0
Arc Floor Two,11/27/2022,09:49 AM,Open,21.0
Arc Olympic Lifting Zones,11/27/2022,09:11 AM,Open,7.0
Climbing,11/22/2022,09:13 PM,Closed,0.0
Competition Pool,11/27/2022,11:49 AM,Open,1.0
Four Court Gym,11/27/2022,09:49 AM,Open,2.0
North Court,11/27/2022,09:49 AM,Open,0.0
Recreation Pool,11/27/2022,11:49 AM,Open,0.0
South Court,11/27/2022,09:49 AM,Open,0.0
Spa,11/26/2022,02:22 PM,Closed,1.0
Tennis Courts,11/26/2022,03:00 PM,Open,2.0
Aquaplex Pool Deck,11/27/2022,11:49 AM,Open,2.0
Arc Express,11/22/2022,08:49 PM,Open,3.0
Arc Floor One,11/27/2022,09:49 AM,Open,33.0
Arc Floor Two,11/27/2022,09:49 AM,Open,21.0
Arc Olympic Lifting Zones,11/27/2022,09:11 AM,Open,7.0
Climbing,11/22/2022,09:13 PM,Closed,0.0
Competition Pool,11/27/2022,11:49 AM,Open,1.0
Four Court Gym,11/27/2022,09:49 AM,Open,2.0
North Court,11/27/2022,09:49 AM,Open,0.0
Recreation Pool,11/27/2022,11:49 AM,Open,0.0
South Court,11/27/2022,09:49 AM,Open,0.0
Spa,11/26/2022,02:22 PM,Closed,1.0
Tennis Courts,11/26/2022,03:00 PM,Open,2.0
Aquaplex Pool Deck,11/27/2022,11:49 AM,Open,2.0
Arc Express,11/22/2022,08:49 PM,Open,3.0
Arc Floor One,11/27/2022,09:49 AM,Open,33.0
Arc Floor Two,11/27/2022,09:49 AM,Open,21.0
Arc Olympic Lifting Zones,11/27/2022,09:11 AM,Open,7.0
Climbing,11/22/2022,09:13 PM,Closed,0.0
Competition Pool,11/27/2022,11:49 AM,Open,1.0
Four Court Gym,11/27/2022,09:49 AM,Open,2.0
North Court,11/27/2022,09:49 AM,Open,0.0
Recreation Pool,11/27/2022,11:49 AM,Open,0.0
South Court,11/27/2022,09:49 AM,Open,0.0
Spa,11/26/2022,02:22 PM,Closed,1.0
Tennis Courts,11/26/2022,03:00 PM,Open,2.0
Aquaplex Pool Deck,11/27/2022,11:49 AM,Open,2.0
Arc Express,11/22/2022,08:49 PM,Open,3.0
Arc Floor One,11/27/2022,09:49 AM,Open,33.0
Arc Floor Two,11/27/2022,09:49 AM,Open,21.0
