venue,date,time,status,count
ARC Floor 2,11/27/2022,09:11 AM,Open,20.0
ARC Floor 2,11/27/2022,09:49 AM,Open,21.0
South Court,11/26/2022,03:09 PM,Open,1.0
4 Court Gym,11/26/2022,03:09 PM,Open,7.0
North Court,11/26/2022,03:09 PM,Open,0.0
Recreation Pool,11/26/2022,03:09 PM,Open,1.0
Competition Pool,11/26/2022,03:09 PM,Open,1.0
ARC Express,11/22/2022,08:49 PM,Open,3.0
Spa,11/26/2022,02:09 PM,Closed,1.0
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0.0
Tennis Courts,11/26/2022,03:00 PM,Open,2.0
ARC Floor 1,11/26/2022,07:57 PM,Open,74.0
Climbing,11/22/2022,07:57 PM,Closed,0.0
ARC Olympic Lifting Zones,11/26/2022,07:57 PM,Open,43.0
ARC Floor 2,11/26/2022,07:57 PM,Open,46.0
South Court,11/26/2022,07:57 PM,Open,4.0
4 Court Gym,11/26/2022,07:57 PM,Open,38.0
North Court,11/26/2022,07:57 PM,Open,2.0
Recreation Pool,11/26/2022,07:23 PM,Closed,0.0
Competition Pool,11/26/2022,07:23 PM,Closed,0.0
ARC Express,11/22/2022,09:35 PM,Open,3.0
Spa,11/26/2022,03:19 PM,Closed,0.0
Aquaplex Pool Deck,11/26/2022,07:23 PM,Closed,0.0
Tennis Courts,11/26/2022,01:26 PM,Closed,0.0
