SouthCourt,1,0,11272022
FourCourtGym,1,2,11272022
NorthCourt,1,0,11272022
RecreationPool,1,4,11272022
CompetitionPool,1,3,11272022
ArcExpress,1,3,11222022
Spa,0,1,11262022
AquaplexPoolDeck,1,0,11262022
TennisCourts,1,2,11262022
Entry,1,2,3
ArcFloorOne,949,1,33
Climbing,913,0,0
ArcOlympicLiftingZones,911,1,7
ArcFloorTwo,949,1,21
SouthCourt,949,1,0
FourCourtGym,949,1,2
NorthCourt,949,1,0
RecreationPool,1025,1,4
CompetitionPool,1025,1,3
ArcExpress,849,1,3
Spa,222,0,1
