Spa,0,01:03 PM,0,01:03 PM,0,01:03 PM,0,01:03 PM,0,01:03 PM,0,01:03 PM
Aquaplex Pool Deck,0,07:04 PM,3,07:04 PM,3,07:04 PM,3,07:04 PM,3,07:04 PM,3,07:04 PM
Tennis Courts,0,06:06 PM,0,06:06 PM,0,06:06 PM,0,06:06 PM,0,06:06 PM,0,06:06 PM
Arc Floor One,109,10:10 PM,117,11:08 PM,88,11/30/2022,12:04 AM,36,12:05 AM,38,08:23 AM,60
Climbing,0,09:16 PM,0,09:16 PM,0,11/29/2022,09:16 PM,0,09:16 PM,0,09:16 PM,0
Arc Olympic Lifting Zones,52,10:10 PM,34,11:08 PM,29,11/30/2022,12:04 AM,14,12:04 AM,14,08:23 AM,40
Arc Floor Two,74,10:10 PM,79,11:08 PM,61,11/30/2022,12:04 AM,28,12:04 AM,28,08:23 AM,62
South Court,17,10:10 PM,12,11:08 PM,10,11/30/2022,12:04 AM,0,12:04 AM,0,12:04 AM,0
Four Court Gym,43,10:10 PM,26,11:08 PM,26,11/30/2022,12:04 AM,9,12:04 AM,9,08:23 AM,8
North Court,4,10:10 PM,12,11:08 PM,5,11/30/2022,12:04 AM,0,12:04 AM,0,12:04 AM,0
Recreation Pool,0,06:06 PM,0,06:06 PM,0,11/29/2022,06:06 PM,0,06:06 PM,0,06:06 PM,0
Competition Pool,0,07:04 PM,0,07:04 PM,0,11/29/2022,07:04 PM,0,07:04 PM,0,07:04 PM,0
Arc Express,13,09:29 PM,13,09:29 PM,13,11/29/2022,09:29 PM,13,09:29 PM,13,09:29 PM,13
Spa,0,01:03 PM,0,01:03 PM,0,11/28/2022,01:03 PM,0,01:03 PM,0,01:03 PM,0
Aquaplex Pool Deck,3,07:04 PM,3,07:04 PM,3,11/29/2022,07:04 PM,3,07:04 PM,3,07:04 PM,3
Tennis Courts,0,06:06 PM,0,06:06 PM,0,11/29/2022,06:06 PM,0,06:06 PM,0,06:06 PM,0
Arc Floor One,11/30/2022,08:23 AM,60,08:23 AM,60,08:23 AM,60,08:23 AM,60,11/30/2022,08:23 AM,60
Climbing,11/29/2022,09:16 PM,0,09:16 PM,0,09:16 PM,0,09:16 PM,0,11/29/2022,09:16 PM,0
Arc Olympic Lifting Zones,11/30/2022,08:23 AM,40,08:23 AM,40,08:23 AM,40,08:23 AM,40,11/30/2022,08:23 AM,40
Arc Floor Two,11/30/2022,08:23 AM,62,08:23 AM,62,08:23 AM,62,08:23 AM,62,11/30/2022,08:23 AM,62
South Court,11/30/2022,12:04 AM,0,12:04 AM,0,12:04 AM,0,12:04 AM,0,11/30/2022,12:04 AM,0
Four Court Gym,11/30/2022,08:23 AM,8,08:23 AM,8,08:23 AM,8,08:23 AM,8,11/30/2022,08:23 AM,8
North Court,11/30/2022,12:04 AM,0,12:04 AM,0,12:04 AM,0,12:04 AM,0,11/30/2022,12:04 AM,0
Recreation Pool,11/29/2022,06:06 PM,0,06:06 PM,0,06:06 PM,0,06:06 PM,0,11/30/2022,10:08 AM,0
Competition Pool,11/29/2022,07:04 PM,0,07:04 PM,0,07:04 PM,0,07:04 PM,0,11/30/2022,10:08 AM,20
Arc Express,11/30/2022,08:30 AM,4,09:00 AM,9,09:27 AM,12,09:57 AM,17,11/30/2022,09:57 AM,17
Spa,11/28/2022,01:03 PM,0,01:03 PM,0,01:03 PM,0,01:03 PM,0,11/28/2022,01:03 PM,0
Aquaplex Pool Deck,11/29/2022,07:04 PM,3,07:04 PM,3,07:04 PM,3,07:04 PM,3,11/30/2022,10:08 AM,4
Tennis Courts,11/29/2022,06:06 PM,0,06:06 PM,0,06:06 PM,0,06:06 PM,0,11/30/2022,10:08 AM,0
Arc Floor One,08:23 AM,60,08:23 AM,60,11:04 AM,91,11:04 AM,91,11:04 AM,91,11:04 AM,91
Climbing,09:16 PM,0,09:16 PM,0,09:16 PM,0,09:16 PM,0,09:16 PM,0,09:16 PM,0
Arc Olympic Lifting Zones,08:23 AM,40,08:23 AM,40,11:04 AM,48,11:04 AM,48,11:21 AM,49,11:21 AM,49
Arc Floor Two,08:23 AM,62,08:23 AM,62,11:04 AM,73,11:04 AM,73,11:21 AM,73,11:21 AM,73
South Court,12:04 AM,0,12:04 AM,0,12:04 AM,0,12:04 AM,0,12:04 AM,0,12:04 AM,0
Four Court Gym,08:23 AM,8,08:23 AM,8,11:04 AM,12,11:04 AM,12,11:21 AM,6,11:21 AM,6
North Court,12:04 AM,0,12:04 AM,0,11:04 AM,2,11:04 AM,2,11:21 AM,0,11:21 AM,0
Recreation Pool,10:08 AM,0,10:08 AM,0,10:08 AM,0,10:08 AM,0,10:08 AM,0,12:11 PM,1
Competition Pool,10:08 AM,20,10:08 AM,20,10:08 AM,20,11:14 AM,3,11:14 AM,3,12:11 PM,18
Arc Express,10:29 AM,22,11:00 AM,18,11:00 AM,18,11:00 AM,18,11:28 AM,24,11:28 AM,24
Spa,01:03 PM,0,01:03 PM,0,01:03 PM,0,01:03 PM,0,01:03 PM,0,01:03 PM,0
Aquaplex Pool Deck,10:08 AM,4,10:08 AM,4,10:08 AM,4,11:14 AM,2,11:14 AM,2,11:14 AM,2
Tennis Courts,10:08 AM,0,10:08 AM,0,10:08 AM,0,10:08 AM,0,10:08 AM,0,10:08 AM,0
Arc Floor One,12:11 PM,108,01:13 PM,80,01:13 PM,80,11/30/2022,03:09 PM,114,03:09 PM,114,11/30/2022
Climbing,09:16 PM,0,09:16 PM,0,09:16 PM,0,11/30/2022,03:09 PM,23,03:09 PM,23,11/30/2022
Arc Olympic Lifting Zones,12:11 PM,54,01:13 PM,37,01:13 PM,37,11/30/2022,03:09 PM,43,03:09 PM,43,11/30/2022
Arc Floor Two,12:11 PM,82,01:13 PM,39,01:13 PM,39,11/30/2022,03:10 PM,65,03:10 PM,65,11/30/2022
South Court,12:11 PM,0,12:11 PM,0,12:11 PM,0,11/30/2022,03:08 PM,0,03:08 PM,0,11/30/2022
Four Court Gym,12:11 PM,18,01:13 PM,5,01:13 PM,5,11/30/2022,03:10 PM,25,03:10 PM,25,11/30/2022
North Court,12:11 PM,2,12:11 PM,2,12:11 PM,2,11/30/2022,03:10 PM,0,03:10 PM,0,11/30/2022
Recreation Pool,12:11 PM,1,01:16 PM,3,01:16 PM,3,11/30/2022,01:16 PM,3,03:26 PM,2,11/28/2022
Competition Pool,12:11 PM,18,01:16 PM,9,02:28 PM,12,11/30/2022,02:28 PM,12,02:28 PM,12,11/28/2022
Arc Express,11:28 AM,24,11:28 AM,24,02:29 PM,16,11/30/2022,02:29 PM,16,02:29 PM,16,11/30/2022
Spa,01:03 PM,0,01:03 PM,0,01:03 PM,0,11/28/2022,01:03 PM,0,01:03 PM,0,11/28/2022
Aquaplex Pool Deck,11:14 AM,2,11:14 AM,2,11:14 AM,2,11/30/2022,11:14 AM,2,03:26 PM,0,11/28/2022
Tennis Courts,10:08 AM,0,10:08 AM,0,10:08 AM,0,11/30/2022,10:08 AM,0,10:08 AM,0,11/30/2022
Arc Floor One,03:09 PM,114,03:09 PM,114,11/30/2022,03:09 PM,114,05:32 PM,155,05:32 PM,155,05:32 PM
Climbing,03:09 PM,23,03:09 PM,23,11/30/2022,03:09 PM,23,05:32 PM,27,05:32 PM,27,05:32 PM
Arc Olympic Lifting Zones,03:09 PM,43,03:09 PM,43,11/30/2022,03:09 PM,43,05:32 PM,56,05:32 PM,56,05:32 PM
Arc Floor Two,03:10 PM,65,03:10 PM,65,11/30/2022,03:10 PM,65,05:32 PM,107,05:32 PM,107,05:32 PM
South Court,03:08 PM,0,03:08 PM,0,11/30/2022,03:08 PM,0,05:32 PM,0,05:32 PM,0,05:32 PM
Four Court Gym,03:10 PM,25,03:10 PM,25,11/30/2022,03:10 PM,25,05:32 PM,20,05:32 PM,20,05:32 PM
North Court,03:10 PM,0,03:10 PM,0,11/30/2022,03:10 PM,0,05:32 PM,2,05:32 PM,2,05:32 PM
Recreation Pool,04:01 PM,1,04:01 PM,1,11/30/2022,04:37 PM,5,04:37 PM,5,05:35 PM,2,06:56 PM
Competition Pool,04:01 PM,2,04:01 PM,2,11/30/2022,04:37 PM,2,04:37 PM,2,05:35 PM,0,05:35 PM
Arc Express,02:29 PM,16,04:28 PM,37,11/30/2022,04:28 PM,37,05:32 PM,29,05:32 PM,29,06:58 PM
Spa,01:03 PM,0,01:03 PM,0,11/28/2022,01:03 PM,0,01:03 PM,0,01:03 PM,0,01:03 PM
Aquaplex Pool Deck,04:01 PM,1,04:01 PM,1,11/28/2022,04:01 PM,1,04:01 PM,1,05:35 PM,3,06:56 PM
Tennis Courts,10:08 AM,0,10:08 AM,0,11/30/2022,10:08 AM,0,10:08 AM,0,10:08 AM,0,10:08 AM
Arc Floor One,155,07:20 PM,135,07:20 PM,135,07:20 PM,135,08:12 PM,143,08:12 PM,143,08:12 PM
Climbing,27,07:20 PM,20,07:20 PM,20,07:20 PM,20,08:12 PM,19,08:12 PM,19,08:12 PM
Arc Olympic Lifting Zones,56,07:20 PM,72,07:20 PM,72,07:20 PM,72,08:12 PM,61,08:12 PM,61,08:12 PM
Arc Floor Two,107,07:21 PM,94,07:21 PM,94,07:21 PM,94,08:12 PM,97,08:12 PM,97,08:12 PM
South Court,0,07:21 PM,4,07:21 PM,4,07:21 PM,4,08:12 PM,0,08:12 PM,0,08:12 PM
Four Court Gym,20,07:21 PM,65,07:21 PM,65,07:21 PM,65,08:12 PM,38,08:12 PM,38,08:12 PM
North Court,2,07:21 PM,4,07:21 PM,4,07:21 PM,4,08:12 PM,6,08:12 PM,6,08:12 PM
Recreation Pool,2,06:56 PM,2,06:56 PM,2,08:01 PM,0,08:01 PM,0,08:01 PM,0,08:01 PM
Competition Pool,0,05:35 PM,0,05:35 PM,0,05:35 PM,0,05:35 PM,0,05:35 PM,0,05:35 PM
Arc Express,33,06:58 PM,33,07:30 PM,20,08:01 PM,21,08:01 PM,21,08:34 PM,22,08:59 PM
Spa,0,01:03 PM,0,01:03 PM,0,01:03 PM,0,01:03 PM,0,01:03 PM,0,01:03 PM
Aquaplex Pool Deck,0,06:56 PM,0,06:56 PM,0,06:56 PM,0,06:56 PM,0,06:56 PM,0,06:56 PM
Tennis Courts,0,10:08 AM,0,10:08 AM,0,10:08 AM,0,10:08 AM,0,10:08 AM,0,10:08 AM
Arc Floor One,143,09:16 PM,94,09:16 PM,94,09:16 PM,Open,94,10:11 PM,92,11:13 PM,58
Climbing,19,09:16 PM,0,09:16 PM,0,09:16 PM,Closed,0,09:16 PM,0,09:16 PM,0
Arc Olympic Lifting Zones,61,09:16 PM,57,09:16 PM,57,09:16 PM,Open,57,10:11 PM,34,11:13 PM,30
Arc Floor Two,97,09:16 PM,77,09:16 PM,77,09:16 PM,Open,77,10:11 PM,57,11:13 PM,49
South Court,0,09:16 PM,15,09:16 PM,15,09:16 PM,Open,15,10:11 PM,12,11:13 PM,8
Four Court Gym,38,09:16 PM,45,09:16 PM,45,09:16 PM,Open,45,10:11 PM,26,11:13 PM,25
North Court,6,09:16 PM,22,09:16 PM,22,09:16 PM,Open,22,10:11 PM,26,11:13 PM,20
Recreation Pool,0,08:01 PM,0,08:01 PM,0,08:01 PM,Open,0,08:01 PM,0,08:01 PM,0
Competition Pool,0,05:35 PM,0,05:35 PM,0,05:35 PM,Open,0,05:35 PM,0,05:35 PM,0
Arc Express,17,08:59 PM,17,09:30 PM,13,09:49 PM,Closed,0,09:49 PM,0,09:49 PM,0
Spa,0,01:03 PM,0,01:03 PM,0,01:03 PM,Closed,0,01:03 PM,0,01:03 PM,0
Aquaplex Pool Deck,0,06:56 PM,0,06:56 PM,0,06:56 PM,Open,0,06:56 PM,0,06:56 PM,0
Tennis Courts,0,10:08 AM,0,10:08 AM,0,10:08 AM,Closed,0,10:08 AM,0,10:08 AM,0
Arc Floor One,12/01/2022,12:06 AM,27,06:27 AM,31,07:10 AM,38,08:18 AM,57,12/01/2022,08:18 AM,57
Climbing,11/30/2022,09:16 PM,0,09:16 PM,0,09:16 PM,0,09:16 PM,0,11/30/2022,09:16 PM,0
Arc Olympic Lifting Zones,12/01/2022,12:06 AM,9,06:27 AM,20,07:10 AM,23,08:18 AM,30,12/01/2022,08:18 AM,30
Arc Floor Two,12/01/2022,12:06 AM,6,06:27 AM,15,07:10 AM,22,08:18 AM,25,12/01/2022,08:18 AM,25
South Court,12/01/2022,12:06 AM,0,06:27 AM,0,06:27 AM,0,06:27 AM,0,12/01/2022,06:27 AM,0
Four Court Gym,12/01/2022,12:06 AM,8,06:27 AM,0,06:27 AM,0,08:18 AM,1,12/01/2022,08:18 AM,1
North Court,12/01/2022,12:06 AM,0,06:27 AM,0,06:27 AM,0,06:27 AM,0,12/01/2022,06:27 AM,0
Recreation Pool,11/30/2022,08:01 PM,0,08:01 PM,0,08:01 PM,0,08:01 PM,0,11/30/2022,08:01 PM,0
Competition Pool,11/30/2022,05:35 PM,0,05:35 PM,0,05:35 PM,0,05:35 PM,0,11/30/2022,05:35 PM,0
Arc Express,11/30/2022,09:49 PM,0,09:49 PM,0,09:49 PM,0,09:49 PM,0,12/01/2022,09:02 AM,11
Spa,11/28/2022,01:03 PM,0,01:03 PM,0,01:03 PM,0,01:03 PM,0,11/28/2022,01:03 PM,0
Aquaplex Pool Deck,11/30/2022,06:56 PM,0,06:56 PM,0,06:56 PM,0,06:56 PM,0,11/30/2022,06:56 PM,0
Tennis Courts,11/30/2022,10:08 AM,0,10:08 AM,0,10:08 AM,0,10:08 AM,0,11/30/2022,10:08 AM,0
Arc Floor One,09:18 AM,73,09:18 AM,73,09:18 AM,73,10:14 AM,76,12/01/2022,10:14 AM,76,10/09/2022
Climbing,09:16 PM,0,09:16 PM,0,09:16 PM,0,09:16 PM,0,11/30/2022,09:16 PM,0,10/08/2022
Arc Olympic Lifting Zones,09:18 AM,34,09:18 AM,34,09:18 AM,34,10:14 AM,34,12/01/2022,10:14 AM,34,10/09/2022
Arc Floor Two,09:18 AM,29,09:18 AM,29,09:18 AM,29,10:14 AM,30,12/01/2022,10:14 AM,30,10/09/2022
South Court,09:18 AM,2,09:18 AM,2,09:18 AM,2,09:18 AM,2,12/01/2022,09:18 AM,2,10/09/2022
Four Court Gym,09:18 AM,3,09:18 AM,3,09:18 AM,3,09:18 AM,3,12/01/2022,09:18 AM,3,10/09/2022
North Court,06:27 AM,0,06:27 AM,0,06:27 AM,0,06:27 AM,0,12/01/2022,06:27 AM,0,10/09/2022
Recreation Pool,08:01 PM,0,08:01 PM,0,08:01 PM,0,08:01 PM,0,12/01/2022,10:21 AM,3,12/01/2022
Competition Pool,05:35 PM,0,05:35 PM,0,05:35 PM,0,05:35 PM,0,12/01/2022,10:21 AM,15,12/01/2022
Arc Express,09:02 AM,11,09:35 AM,19,10:02 AM,12,10:02 AM,12,12/01/2022,10:02 AM,12,12/01/2022
Spa,01:03 PM,0,01:03 PM,0,01:03 PM,0,01:03 PM,0,11/28/2022,01:03 PM,0,11/28/2022
Aquaplex Pool Deck,06:56 PM,0,06:56 PM,0,06:56 PM,0,06:56 PM,0,12/01/2022,10:21 AM,5,12/01/2022
Tennis Courts,10:08 AM,0,10:08 AM,0,10:08 AM,0,10:08 AM,0,11/30/2022,10:08 AM,0,11/30/2022
Arc Floor One,07:13 PM,101,12/01/2022,10:43 AM,105,10/08/2022,06:05 PM,54,06:05 PM,54,12/01/2022,11:10 AM
Climbing,06:05 PM,8,12/01/2022,10:43 AM,0,10/08/2022,06:05 PM,8,06:05 PM,8,10/08/2022,06:05 PM
Arc Olympic Lifting Zones,07:13 PM,33,12/01/2022,10:43 AM,41,10/08/2022,06:05 PM,33,06:05 PM,33,12/01/2022,11:10 AM
Arc Floor Two,07:13 PM,60,12/01/2022,10:43 AM,81,10/08/2022,06:05 PM,27,06:05 PM,27,12/01/2022,11:10 AM
South Court,07:13 PM,5,12/01/2022,10:43 AM,0,10/08/2022,06:05 PM,0,06:05 PM,0,12/01/2022,11:10 AM
Four Court Gym,07:13 PM,32,12/01/2022,10:43 AM,18,10/08/2022,06:05 PM,12,06:05 PM,12,12/01/2022,11:10 AM
North Court,07:13 PM,8,12/01/2022,10:43 AM,0,10/08/2022,06:05 PM,4,06:05 PM,4,12/01/2022,11:10 AM
Recreation Pool,10:21 AM,3,12/01/2022,10:21 AM,3,12/01/2022,10:21 AM,3,10:21 AM,3,12/01/2022,10:21 AM
Competition Pool,10:21 AM,15,12/01/2022,10:21 AM,15,12/01/2022,10:21 AM,15,10:21 AM,15,12/01/2022,10:21 AM
Arc Express,10:02 AM,12,12/01/2022,10:02 AM,12,12/01/2022,10:02 AM,12,10:56 AM,20,12/01/2022,10:56 AM
Spa,01:03 PM,0,11/28/2022,01:03 PM,0,11/28/2022,01:03 PM,0,01:03 PM,0,11/28/2022,01:03 PM
Aquaplex Pool Deck,10:21 AM,5,12/01/2022,10:21 AM,5,12/01/2022,10:21 AM,5,10:21 AM,5,12/01/2022,10:21 AM
Tennis Courts,10:08 AM,0,11/30/2022,10:08 AM,0,11/30/2022,10:08 AM,0,10:08 AM,0,11/30/2022,10:08 AM
Arc Floor One,88,11:10 AM,88,11:10 AM,88,11:10 AM,88,12:15 PM,91,12:15 PM,91,12:15 PM
Climbing,8,06:05 PM,8,06:05 PM,8,06:05 PM,8,06:05 PM,8,06:05 PM,8,06:05 PM
Arc Olympic Lifting Zones,44,11:10 AM,44,11:10 AM,44,11:10 AM,44,12:15 PM,63,12:15 PM,63,12:15 PM
Arc Floor Two,78,11:10 AM,78,11:10 AM,78,11:10 AM,78,12:15 PM,78,12:15 PM,78,12:15 PM
South Court,0,11:10 AM,0,11:10 AM,0,11:10 AM,0,12:15 PM,0,12:15 PM,0,12:15 PM
Four Court Gym,9,11:10 AM,9,11:10 AM,9,11:10 AM,9,12:15 PM,6,12:15 PM,6,12:15 PM
North Court,0,11:10 AM,0,11:10 AM,0,11:10 AM,0,12:15 PM,0,12:15 PM,0,12:15 PM
Recreation Pool,3,10:21 AM,3,11:44 AM,1,11:44 AM,1,12:10 PM,6,12:10 PM,6,01:02 PM
Competition Pool,15,10:21 AM,15,11:44 AM,6,11:44 AM,6,12:10 PM,9,12:10 PM,9,01:02 PM
Arc Express,20,11:34 AM,21,11:34 AM,21,12:01 PM,15,12:01 PM,15,12:30 PM,18,01:00 PM
Spa,0,01:03 PM,0,01:03 PM,0,01:03 PM,0,01:03 PM,0,01:03 PM,0,01:03 PM
Aquaplex Pool Deck,5,10:21 AM,5,11:44 AM,5,11:44 AM,5,12:10 PM,3,12:10 PM,3,01:02 PM
Tennis Courts,0,10:08 AM,0,10:08 AM,0,10:08 AM,0,10:08 AM,0,10:08 AM,0,10:08 AM
Arc Floor One,91,12:15 PM,91,12:15 PM,91,02:09 PM,100,02:09 PM,100,03:11 PM,115,03:11 PM
Climbing,8,06:05 PM,8,06:05 PM,8,06:05 PM,8,06:05 PM,8,03:11 PM,14,03:11 PM
Arc Olympic Lifting Zones,63,12:15 PM,63,12:15 PM,63,02:09 PM,59,02:09 PM,59,03:11 PM,62,03:11 PM
Arc Floor Two,78,12:15 PM,78,12:15 PM,78,02:09 PM,74,02:09 PM,74,03:11 PM,80,03:11 PM
South Court,0,12:15 PM,0,12:15 PM,0,02:09 PM,3,02:09 PM,3,03:11 PM,0,03:11 PM
Four Court Gym,6,12:15 PM,6,12:15 PM,6,02:09 PM,18,02:09 PM,18,03:11 PM,13,03:11 PM
North Court,0,12:15 PM,0,12:15 PM,0,12:15 PM,0,12:15 PM,0,03:11 PM,0,03:11 PM
Recreation Pool,2,01:02 PM,2,02:03 PM,3,02:03 PM,3,03:07 PM,2,03:07 PM,2,03:07 PM
Competition Pool,1,01:02 PM,1,02:03 PM,0,02:03 PM,0,03:07 PM,0,03:07 PM,0,03:07 PM
Arc Express,15,01:35 PM,14,02:06 PM,16,02:06 PM,16,03:00 PM,18,03:00 PM,18,03:30 PM
Spa,0,01:03 PM,0,01:03 PM,0,01:03 PM,0,01:03 PM,0,01:03 PM,0,01:03 PM
Aquaplex Pool Deck,1,01:02 PM,1,02:03 PM,0,02:03 PM,0,03:07 PM,0,03:07 PM,0,03:07 PM
Tennis Courts,0,10:08 AM,0,10:08 AM,0,10:08 AM,0,10:08 AM,0,10:08 AM,0,10:08 AM
Arc Floor One,115,03:11 PM,115,04:09 PM,95,04:09 PM,95,04:09 PM,95,05:02 PM,141,05:02 PM
Climbing,14,03:11 PM,14,04:09 PM,20,04:09 PM,20,04:09 PM,20,05:02 PM,9,05:02 PM
Arc Olympic Lifting Zones,62,03:11 PM,62,04:09 PM,73,04:09 PM,73,04:09 PM,73,05:02 PM,68,05:02 PM
Arc Floor Two,80,03:11 PM,80,04:09 PM,88,04:09 PM,88,04:09 PM,88,05:02 PM,103,05:02 PM
South Court,0,03:11 PM,0,04:09 PM,6,04:09 PM,6,04:09 PM,6,05:02 PM,8,05:02 PM
Four Court Gym,13,03:11 PM,13,04:09 PM,14,04:09 PM,14,04:09 PM,14,05:02 PM,12,05:02 PM
North Court,0,03:11 PM,0,03:11 PM,0,03:11 PM,0,03:11 PM,0,05:02 PM,0,05:02 PM
Recreation Pool,2,03:07 PM,2,03:07 PM,2,04:26 PM,2,04:26 PM,2,04:26 PM,2,04:26 PM
Competition Pool,0,03:07 PM,0,03:07 PM,0,04:26 PM,4,04:26 PM,4,04:26 PM,4,04:26 PM
Arc Express,17,04:00 PM,26,04:00 PM,26,04:00 PM,26,04:31 PM,17,04:31 PM,17,05:39 PM
Spa,0,01:03 PM,0,01:03 PM,0,01:03 PM,0,01:03 PM,0,01:03 PM,0,01:03 PM
Aquaplex Pool Deck,0,03:07 PM,0,03:07 PM,0,04:26 PM,1,04:26 PM,1,04:26 PM,1,04:26 PM
Tennis Courts,0,10:08 AM,0,10:08 AM,0,10:08 AM,0,10:08 AM,0,10:08 AM,0,10:08 AM
Arc Floor One,141,05:02 PM,141,05:02 PM,141,06:29 PM,121,06:29 PM,121,07:14 PM,114,07:14 PM
Climbing,9,05:02 PM,9,05:02 PM,9,06:29 PM,8,06:29 PM,8,06:29 PM,8,06:29 PM
Arc Olympic Lifting Zones,68,05:02 PM,68,05:02 PM,68,06:29 PM,47,06:29 PM,47,07:14 PM,53,07:14 PM
Arc Floor Two,103,05:02 PM,103,05:02 PM,103,06:29 PM,103,06:29 PM,103,07:14 PM,73,07:14 PM
South Court,8,05:02 PM,8,05:02 PM,8,06:29 PM,10,06:29 PM,10,06:29 PM,10,06:29 PM
Four Court Gym,12,05:02 PM,12,05:02 PM,12,06:29 PM,18,06:29 PM,18,07:14 PM,27,07:14 PM
North Court,0,05:02 PM,0,05:02 PM,0,06:29 PM,6,06:29 PM,6,06:29 PM,6,06:29 PM
Recreation Pool,2,05:55 PM,1,05:55 PM,1,05:55 PM,1,07:04 PM,0,07:04 PM,0,07:04 PM
Competition Pool,4,05:55 PM,8,05:55 PM,8,05:55 PM,8,07:04 PM,7,07:04 PM,7,07:04 PM
Arc Express,19,05:39 PM,19,06:02 PM,23,06:02 PM,23,06:02 PM,23,06:02 PM,23,07:33 PM
Spa,0,01:03 PM,0,01:03 PM,0,01:03 PM,0,01:03 PM,0,01:03 PM,0,01:03 PM
Aquaplex Pool Deck,1,04:26 PM,1,04:26 PM,1,04:26 PM,1,04:26 PM,1,04:26 PM,1,04:26 PM
Tennis Courts,0,10:08 AM,0,10:08 AM,0,10:08 AM,0,10:08 AM,0,10:08 AM,0,10:08 AM
Arc Floor One,114,08:02 PM,127,08:02 PM,127,08:02 PM,127,09:06 PM,123,09:06 PM,123,09:06 PM
Climbing,8,08:02 PM,13,08:02 PM,13,08:02 PM,13,09:06 PM,6,09:06 PM,6,09:06 PM
Arc Olympic Lifting Zones,53,08:02 PM,32,08:02 PM,32,08:02 PM,32,09:06 PM,42,09:06 PM,42,09:06 PM
Arc Floor Two,73,08:02 PM,65,08:02 PM,65,08:02 PM,65,09:06 PM,55,09:06 PM,55,09:06 PM
South Court,10,08:02 PM,19,08:02 PM,19,08:02 PM,19,09:06 PM,16,09:06 PM,16,09:06 PM
Four Court Gym,27,08:02 PM,41,08:02 PM,41,08:02 PM,41,09:06 PM,39,09:06 PM,39,09:06 PM
North Court,6,08:02 PM,7,08:02 PM,7,08:02 PM,7,09:06 PM,19,09:06 PM,19,09:06 PM
Recreation Pool,0,07:04 PM,0,07:04 PM,0,07:04 PM,0,07:04 PM,0,07:04 PM,0,07:04 PM
Competition Pool,7,07:04 PM,7,07:04 PM,7,08:58 PM,2,08:58 PM,2,08:58 PM,2,08:58 PM
Arc Express,18,08:02 PM,18,08:33 PM,17,08:33 PM,17,08:33 PM,17,09:14 PM,9,09:36 PM
Spa,0,01:03 PM,0,01:03 PM,0,01:03 PM,0,01:03 PM,0,01:03 PM,0,01:03 PM
Aquaplex Pool Deck,1,04:26 PM,1,04:26 PM,1,08:58 PM,0,08:58 PM,0,08:58 PM,0,08:58 PM
Tennis Courts,0,10:08 AM,0,10:08 AM,0,10:08 AM,0,10:08 AM,0,10:08 AM,0,10:08 AM
Arc Floor One,123,10:00 PM,111,12/02/2022,06:11 AM,32,12/02/2022,07:04 AM,27,08:04 AM,32,12/02/2022
Climbing,6,10:00 PM,0,12/01/2022,10:00 PM,0,12/01/2022,10:00 PM,0,10:00 PM,0,12/01/2022
Arc Olympic Lifting Zones,42,10:00 PM,43,12/02/2022,06:11 AM,10,12/02/2022,07:04 AM,23,08:04 AM,22,12/02/2022
Arc Floor Two,55,10:00 PM,59,12/02/2022,06:11 AM,10,12/02/2022,07:04 AM,30,08:04 AM,25,12/02/2022
South Court,16,10:00 PM,15,12/01/2022,10:00 PM,15,12/02/2022,07:04 AM,0,07:04 AM,0,12/02/2022
Four Court Gym,39,10:00 PM,28,12/01/2022,10:00 PM,28,12/02/2022,07:04 AM,0,07:04 AM,0,12/02/2022
North Court,19,10:00 PM,9,12/01/2022,10:00 PM,9,12/02/2022,07:04 AM,0,07:04 AM,0,12/02/2022
Recreation Pool,0,07:04 PM,0,12/01/2022,07:04 PM,0,12/01/2022,07:04 PM,0,07:04 PM,0,12/01/2022
Competition Pool,2,08:58 PM,2,12/01/2022,08:58 PM,2,12/01/2022,08:58 PM,2,08:58 PM,2,12/01/2022
Arc Express,5,09:36 PM,5,12/01/2022,09:36 PM,5,12/01/2022,09:36 PM,5,09:36 PM,5,12/02/2022
Spa,0,01:03 PM,0,11/28/2022,01:03 PM,0,11/28/2022,01:03 PM,0,01:03 PM,0,11/28/2022
Aquaplex Pool Deck,0,08:58 PM,0,12/01/2022,08:58 PM,0,12/01/2022,08:58 PM,0,08:58 PM,0,12/01/2022
Tennis Courts,0,10:08 AM,0,11/30/2022,10:08 AM,0,11/30/2022,10:08 AM,0,10:08 AM,0,11/30/2022
Arc Floor One,08:04 AM,32,09:04 AM,43,09:04 AM,43,10:05 AM,68,10:05 AM,68,11:03 AM,71
Climbing,10:00 PM,0,10:00 PM,0,10:00 PM,0,10:00 PM,0,10:00 PM,0,10:00 PM,0
Arc Olympic Lifting Zones,08:04 AM,22,09:04 AM,18,09:04 AM,18,10:05 AM,23,10:05 AM,23,11:03 AM,32
Arc Floor Two,08:04 AM,25,09:04 AM,52,09:04 AM,52,10:05 AM,51,10:05 AM,51,11:03 AM,56
South Court,07:04 AM,0,09:04 AM,0,09:04 AM,0,09:04 AM,0,09:04 AM,0,11:03 AM,0
Four Court Gym,07:04 AM,0,09:04 AM,17,09:04 AM,17,10:05 AM,16,10:05 AM,16,11:03 AM,3
North Court,07:04 AM,0,09:04 AM,0,09:04 AM,0,09:04 AM,0,09:04 AM,0,11:03 AM,0
Recreation Pool,07:04 PM,0,07:04 PM,0,07:04 PM,0,07:04 PM,0,07:04 PM,0,07:04 PM,0
