Arc Floor Two,10:17 PM,16,11:06 PM,12,11/28/2022,06:08 AM,26,07:22 AM,29,07:33 AM,32,08:09 AM
South Court,10:17 PM,3,11:06 PM,1,11/28/2022,06:08 AM,0,07:22 AM,0,07:33 AM,0,08:09 AM
Four Court Gym,10:17 PM,11,11:06 PM,5,11/28/2022,06:08 AM,0,07:22 AM,2,07:33 AM,0,08:09 AM
North Court,10:17 PM,0,11:06 PM,0,11/28/2022,06:08 AM,0,07:22 AM,0,07:33 AM,0,07:33 AM
Recreation Pool,04:58 PM,0,04:58 PM,0,11/27/2022,04:58 PM,0,04:58 PM,0,04:58 PM,0,04:58 PM
Competition Pool,04:58 PM,0,04:58 PM,0,11/27/2022,04:58 PM,0,04:58 PM,0,04:58 PM,0,04:58 PM
Arc Express,08:49 PM,3,08:49 PM,3,11/22/2022,08:49 PM,3,08:49 PM,3,08:49 PM,3,08:49 PM
Spa,02:22 PM,1,02:22 PM,1,11/26/2022,02:22 PM,1,02:22 PM,1,02:22 PM,1,02:22 PM
Aquaplex Pool Deck,04:58 PM,0,04:58 PM,0,11/27/2022,04:58 PM,0,04:58 PM,0,04:58 PM,0,04:58 PM
Tennis Courts,04:58 PM,0,04:58 PM,0,11/27/2022,04:58 PM,0,04:58 PM,0,04:58 PM,0,04:58 PM
Arc Floor One,62,11/28/2022,08:09 AM,62,09:05 AM,70,09:05 AM,11/28/2022,09:05 AM,Open,70,09:05 AM
Climbing,0,11/22/2022,09:13 PM,0,09:13 PM,0,09:13 PM,11/22/2022,09:13 PM,Closed,0,09:13 PM
Arc Olympic Lifting Zones,27,11/28/2022,08:09 AM,27,09:05 AM,29,09:05 AM,11/28/2022,09:05 AM,Open,29,09:05 AM
Arc Floor Two,44,11/28/2022,08:09 AM,44,09:05 AM,45,09:05 AM,11/28/2022,09:05 AM,Open,45,09:05 AM
South Court,0,11/28/2022,08:09 AM,0,09:05 AM,0,09:05 AM,11/28/2022,09:05 AM,Open,0,09:05 AM
Four Court Gym,3,11/28/2022,08:09 AM,3,09:06 AM,12,09:06 AM,11/28/2022,09:06 AM,Open,12,09:06 AM
North Court,0,11/28/2022,07:33 AM,0,09:05 AM,0,09:05 AM,11/28/2022,09:05 AM,Open,0,09:05 AM
Recreation Pool,0,11/27/2022,04:58 PM,0,04:58 PM,0,04:58 PM,11/28/2022,10:05 AM,Open,0,10:05 AM
Competition Pool,0,11/27/2022,04:58 PM,0,04:58 PM,0,04:58 PM,11/28/2022,10:05 AM,Open,2,10:05 AM
Arc Express,3,11/28/2022,08:44 AM,8,09:05 AM,6,09:43 AM,11/28/2022,10:01 AM,Open,5,10:34 AM
Spa,1,11/26/2022,02:22 PM,1,02:22 PM,1,02:22 PM,11/28/2022,10:06 AM,Open,0,10:06 AM
Aquaplex Pool Deck,0,11/27/2022,04:58 PM,0,04:58 PM,0,04:58 PM,11/28/2022,10:06 AM,Open,1,10:06 AM
Tennis Courts,0,11/27/2022,04:58 PM,0,04:58 PM,0,04:58 PM,11/27/2022,04:58 PM,Closed,0,04:58 PM
Arc Floor One,70,10:41 AM,83,10:41 AM,Open,83,10:41 AM,83,10:41 AM,83,12:18 PM,83
Climbing,0,09:13 PM,0,09:13 PM,Closed,0,09:13 PM,0,09:13 PM,0,09:13 PM,0
Arc Olympic Lifting Zones,29,10:41 AM,32,10:41 AM,Open,32,10:41 AM,32,10:41 AM,32,12:18 PM,28
Arc Floor Two,45,10:41 AM,52,10:41 AM,Open,52,10:41 AM,52,10:41 AM,52,12:18 PM,40
South Court,0,10:41 AM,0,10:41 AM,Open,0,10:41 AM,0,10:41 AM,0,12:18 PM,0
Four Court Gym,12,10:41 AM,20,10:41 AM,Open,20,10:41 AM,20,10:41 AM,20,12:18 PM,5
North Court,0,10:41 AM,0,10:41 AM,Open,0,10:41 AM,0,10:41 AM,0,12:18 PM,0
Recreation Pool,0,10:05 AM,0,11:07 AM,Open,0,11:07 AM,0,11:07 AM,0,11:07 AM,0
Competition Pool,2,10:05 AM,2,11:07 AM,Open,0,11:07 AM,0,11:07 AM,0,11:07 AM,0
Arc Express,7,10:34 AM,7,10:34 AM,Open,7,11:20 AM,15,12:02 PM,19,12:02 PM,19
Spa,0,10:06 AM,0,11:07 AM,Closed,0,11:07 AM,0,11:07 AM,0,11:07 AM,0
Aquaplex Pool Deck,1,10:06 AM,1,11:07 AM,Open,0,11:07 AM,0,11:07 AM,0,11:07 AM,0
Tennis Courts,0,04:58 PM,0,04:58 PM,Closed,0,04:58 PM,0,04:58 PM,0,04:58 PM,0
Arc Floor One,11/28/2022,12:18 PM,83,12:18 PM,83,12:18 PM,83,12:18 PM,83,12:18 PM,83,12:18 PM
Climbing,11/22/2022,09:13 PM,0,09:13 PM,0,09:13 PM,0,09:13 PM,0,09:13 PM,0,09:13 PM
Arc Olympic Lifting Zones,11/28/2022,12:18 PM,28,12:18 PM,28,12:18 PM,28,12:18 PM,28,12:18 PM,28,12:18 PM
